inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651524235
10,0,0,0,0,0,0,1651524245
8,0,0,0,0,2,0,1651524255
4,1,0,0,2,3,0,1651524265
7,0,1,2,4,0,0,1651524276
9,0,0,0,0,0,0,1651524285
10,0,0,0,0,0,0,1651524295
11,0,0,0,0,0,0,1651524306
5,0,0,0,1,3,0,1651524316
7,0,1,0,2,0,0,1651524325
7,3,0,0,1,0,0,1651524335
10,0,0,0,0,0,0,1651524345
10,0,0,0,0,0,0,1651524355
9,0,0,0,0,0,0,1651524364
12,0,0,0,0,0,0,1651524376
7,0,0,0,0,0,0,1651524383
9,0,0,0,0,4,0,1651524396
4,0,1,0,3,3,0,1651524406
6,0,0,0,0,3,0,1651524415
9,1,0,0,1,0,0,1651524425
11,0,0,0,0,0,0,1651524436
9,0,0,0,0,0,0,1651524445
8,0,0,0,0,2,0,1651524455
3,1,0,0,1,6,0,1651524465
8,0,0,0,0,2,0,1651524475
1,0,0,0,0,7,0,1651524484
11,0,0,0,0,0,0,1651524495
9,0,0,0,0,0,0,1651524505
10,1,0,0,1,0,0,1651524516
10,0,0,0,0,0,0,1651524526
