inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.0,1651524538
9,0,0,0,0,0,0.5,1651524548
10,0,0,0,0,1,0.5,1651524559
8,0,0,0,0,1,1.0,1651524569
9,0,0,0,0,1,0.0,1651524579
8,0,0,0,0,1,0.0,1651524589
9,0,0,0,0,0,0.0,1651524598
10,0,0,0,0,0,0.0,1651524608
10,0,0,0,0,0,0.0,1651524618
7,0,0,0,0,2,4.0,1651524629
1,0,0,0,0,5,2.0,1651524639
5,0,0,0,0,3,1.0,1651524649
7,0,0,0,0,2,0.0,1651524658
11,0,0,0,0,0,0.0,1651524669
10,0,0,0,0,0,0.0,1651524679
10,0,0,0,0,0,0.0,1651524689
10,0,0,0,0,0,0.0,1651524699
8,2,0,0,1,1,0.0,1651524709
9,0,0,0,0,0,0.0,1651524718
10,0,0,0,0,0,0.0,1651524728
10,0,0,0,0,0,0.0,1651524738
10,0,0,0,0,0,0.0,1651524748
10,0,0,0,0,0,0.0,1651524758
10,0,0,0,0,0,0.0,1651524768
10,0,0,0,0,0,0.0,1651524778
10,0,0,0,0,0,0.0,1651524788
10,0,0,0,0,0,0.0,1651524798
10,0,0,0,0,0,0.0,1651524808
10,0,0,0,0,0,0.0,1651524818
10,0,0,0,0,0,0.0,1651524828
