inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651515306
10,0,0,0,0,0,0,1651515316
10,0,0,0,0,0,0,1651515326
10,0,0,0,0,0,0,1651515336
10,0,0,0,0,0,0,1651515346
10,0,0,0,0,0,0,1651515356
10,0,0,0,0,0,0,1651515366
6,0,1,0,2,0,0,1651515377
9,0,0,0,0,0,0,1651515386
7,0,0,1,2,0,0,1651515396
10,0,0,0,0,0,0,1651515406
10,0,0,0,0,0,0,1651515416
9,1,0,0,1,0,0,1651515426
9,0,0,0,0,0,0,1651515435
11,0,0,0,0,0,0,1651515446
8,0,1,0,2,0,0,1651515456
10,0,0,0,0,0,0,1651515466
10,0,0,0,0,0,0,1651515476
10,2,0,0,0,0,0,1651515486
10,0,0,0,0,0,0,1651515496
10,0,0,0,0,0,0,1651515506
10,0,0,0,0,0,0,1651515516
10,0,0,0,0,0,0,1651515526
10,0,0,0,0,0,0,1651515536
9,0,0,0,0,0,0,1651515546
10,0,0,0,0,0,0,1651515556
9,0,0,0,0,1,0,1651515566
3,3,0,0,1,5,0,1651515576
10,0,0,0,0,0,0,1651515586
10,0,0,0,0,0,0,1651515596
