inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
10,0,0,0,0,0,0.0,1651523535
9,0,0,0,0,0,0.5,1651523544
7,0,0,0,0,0,2.5,1651523554
10,0,0,0,0,0,0.0,1651523564
7,0,0,0,0,3,0.5,1651523575
6,0,0,0,0,2,3.5,1651523584
9,0,0,0,0,0,1.0,1651523594
10,0,0,0,0,0,0.0,1651523604
10,0,0,0,0,0,0.0,1651523614
10,0,0,0,0,0,0.0,1651523624
10,0,0,0,0,0,0.0,1651523634
4,0,0,0,0,4,2.0,1651523644
9,0,0,0,0,1,0.0,1651523654
10,0,0,0,0,0,0.0,1651523664
9,0,0,0,0,1,0.0,1651523674
4,0,0,0,0,3,1.5,1651523685
6,0,0,0,0,2,1.5,1651523693
11,0,0,0,0,0,0.0,1651523704
10,0,0,0,0,0,0.0,1651523714
10,0,0,0,0,0,0.0,1651523724
10,0,0,0,0,0,0.0,1651523734
10,0,0,0,0,0,0.0,1651523744
11,0,0,0,0,0,0.0,1651523755
5,1,0,0,1,4,0.0,1651523765
9,0,0,0,0,0,0.0,1651523774
10,0,0,0,0,0,0.0,1651523784
10,0,0,0,0,0,0.0,1651523794
10,0,0,0,0,0,0.0,1651523804
10,0,0,0,0,0,0.0,1651523814
8,0,0,0,0,3,0.0,1651523825
